	Feature	LogRatio
0	scafDX at 5'	0.17763450413943538
1	scafDX at 5'	0.08073790820831114
2	scafDX at 5'	0.026019051226257646
3	scafDX at 5'	0.6254254401646479
4	scafDX at 5'	-0.3320710234595481
5	scafDX at 5'	0.08311207483710564
6	scafDX at 5'	0.6113855572505711
7	scafDX at 5'	-0.15676711679409117
8	scafDX at 5'	1.140770439598097
9	scafDX at 5'	0.6495923331619319
10	scafDX at 5'	-0.3108195340784562
11	scafDX at 5'	0.01666286886694349
12	scafDX at 5'	-0.025553314309862768
13	scafDX at 5'	-0.4652239782822821
14	scafDX at 5'	-0.22006463516639851
15	scafDX at 5'	-0.8035110332643232
16	scafDX at 5'	-0.20621683425342494
17	scafDX at 5'	1.051562335310769
18	scafDX at 5'	1.6373566016373566
19	scafDX at 5'	0.8951538958108012
20	scafDX at 5'	0.008171608316938032
21	scafDX at 5'	1.1174671819474042
22	scafDX at 3'	0.1547025943919628
23	scafDX at 3'	-0.13052100474791836
24	scafDX at 3'	0.10724479667921805
25	scafDX at 3'	-0.6755228337722565
26	scafDX at 3'	-0.5550671172251856
27	scafDX at 3'	0.021101392662373857
28	scafDX at 3'	0.10467105346135623
29	scafDX at 3'	0.575332148079914
30	scafDX at 3'	0.17498178273023715
31	scafDX at 3'	0.22013681058687262
32	scafDX at 3'	0.05541417180564292
33	scafDX at 3'	-0.038305270171617
34	scafDX at 3'	-0.34001932871859136
35	scafDX at 3'	-0.17788850761074881
36	scafDX at 3'	0.1895172274281257
37	scafDX at 3'	0.09720839466314886
38	scafDX at 3'	0.007486366499228239
39	scafDX at 3'	-0.08566511940579666
40	scafDX at 3'	-0.42269679096689966
41	scafDX at 3'	-0.4938975225394442
42	scafDX at 3'	-0.12771035622491564
43	scafDX at 3'	-0.19929868721507593
44	scafDX at 3'	0.6594016861332025
45	scafDX at 3'	0.023586886366174443
46	scafDX at 3'	0.09878891990760026
47	scafDX at 3'	-0.5638845855122014
48	scafDX at 3'	-0.15626986045770624
49	scafDX at 3'	0.0019597602892120728
50	scafDX at 3'	-0.5784410724179739
51	stapDX at 5'	0.2713362773500321
52	stapDX at 5'	-0.6765858218516736
53	stapDX at 5'	-0.5019819062957359
54	stapDX at 5'	0.12495687647976964
55	stapDX at 5'	0.13471317117151627
56	stapDX at 5'	0.15221727242379654
57	stapDX at 5'	-0.43849388102118947
58	stapDX at 5'	0.6008397147353182
59	stapDX at 5'	0.04350824327923212
60	stapDX at 5'	-0.7185755918497961
61	stapDX at 5'	-0.1473650262829925
62	stapDX at 5'	0.09484745425205146
63	stapDX at 5'	0.48254574180877613
64	stapDX at 5'	0.12288364920662642
65	stapDX at 5'	-0.07121193060224608
66	stapDX at 5'	0.6311945020971402
67	stapDX at 5'	0.4962756098695829
68	stapDX at 5'	0.3802879101557278
69	stapDX at 5'	0.2422518920487702
70	stapDX at 5'	0.3860047923383677
71	stapDX at 5'	-0.4017458095732185
72	stapDX at 5'	-0.34642145149744397
73	stapDX at 5'	0.0670966293491473
74	stapDX at 5'	-0.4709296340974657
75	stapDX at 5'	0.31600580284962526
76	stapDX at 5'	0.42224214811808536
77	stapDX at 5'	-0.6825928812904428
78	stapDX at 5'	0.21434035137410312
79	stapDX at 5'	-0.3038311739828284
80	stapDX at 5'	0.07022963426736165
81	stapDX at 5'	-0.24252774704458718
82	stapDX at 5'	-0.06312887308847219
83	stapDX at 5'	0.25873488055521837
84	stapDX at 5'	0.1442829545805118
85	stapDX at 5'	0.7886440760131038
86	stapDX at 5'	0.1157158582820208
87	stapDX at 5'	-0.16470250139752377
88	stapDX at 5'	-0.2947293747433079
89	stapDX at 5'	-0.2566593505545415
90	stapDX at 5'	0.5692207647502445
91	stapDX at 5'	-0.4811275372433612
92	stapDX at 5'	-0.4536096358832718
93	stapDX at 5'	-0.13087612661033282
94	stapDX at 5'	0.4574226183024715
95	stapDX at 5'	0.051755337002583605
96	stapDX at 5'	0.46499284017398784
97	stapDX at 5'	-0.3147495607226417
98	stapDX at 5'	-0.2090042504646266
99	stapDX at 5'	0.1816864984390632
100	stapDX at 5'	-0.2968886409944405
101	stapDX at 5'	-0.3945144946175875
102	stapDX at 5'	0.12006274588926105
103	stapDX at 5'	-0.35589945096918635
104	stapDX at 5'	0.19905211826463387
105	stapDX at 5'	-0.10367608651824206
106	stapDX at 5'	-0.8604515276896945
107	stapDX at 3'	-0.6170142304566959
108	stapDX at 3'	0.4141823743136535
109	stapDX at 3'	0.03206211449897096
110	stapDX at 3'	0.26610048051183216
111	stapDX at 3'	0.00040888613706567724
112	stapDX at 3'	0.7478627624365735
113	stapDX at 3'	0.35506064809508175
114	stapDX at 3'	-0.18282729015785823
115	stapDX at 3'	0.7659162384019197
116	stapDX at 3'	0.23558536290999194
117	stapDX at 3'	0.8596577880106077
118	stapDX at 3'	-0.12995337571878904
119	stapDX at 3'	0.4571659954743937
120	stapDX at 3'	-0.6969657681173353
121	stapDX at 3'	-0.5550333183149103
122	stapDX at 3'	0.2988417035725948
123	stapDX at 3'	-0.008493351060305005
124	stapDX at 3'	-0.26955775109188884
125	stapDX at 3'	-0.17009189947373926
126	stapDX at 3'	0.6034471639807651
127	stapDX at 3'	-0.041272077741452466
128	stapDX at 3'	0.34146786629180975
129	stapDX at 3'	0.4934714583915929
130	stapDX at 3'	-0.8039159286157642
131	stapDX at 3'	0.5309214690643513
132	stapDX at 3'	0.25920145697284147
133	stapDX at 3'	-0.02327456585227867
134	stapDX at 3'	0.6413378754128535
135	stapDX at 3'	0.28979108460828146
